GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
0500000US48395,48395,"Robertson County, Texas",26269,2672,30319,5040,23767,3504
0500000US48397,48397,"Rockwall County, Texas",43552,1685,52788,1974,33585,2078
0500000US48399,48399,"Runnels County, Texas",24611,2845,32021,3016,18236,1913
0500000US48401,48401,"Rusk County, Texas",25977,1315,31305,1567,20981,2482
0500000US48403,48403,"Sabine County, Texas",22845,1999,26394,4617,16174,2902
0500000US48405,48405,"San Augustine County, Texas",24574,5487,29602,5370,19375,5254
0500000US48407,48407,"San Jacinto County, Texas",31934,4376,37699,3933,24082,4582
0500000US48409,48409,"San Patricio County, Texas",27555,1546,37647,2534,18440,1454
0500000US48411,48411,"San Saba County, Texas",22127,3382,23977,3972,19243,3223
0500000US48413,48413,"Schleicher County, Texas",25505,3293,40481,14278,17981,4953
0500000US48415,48415,"Scurry County, Texas",27102,2162,38516,3717,15798,1506
0500000US48417,48417,"Shackelford County, Texas",30504,3709,35691,3346,20915,3892
0500000US48419,48419,"Shelby County, Texas",22321,2463,31563,1920,17607,1582
0500000US48421,48421,"Sherman County, Texas",26167,4244,33065,4785,20455,5844
0500000US48423,48423,"Smith County, Texas",26567,664,31553,1033,21882,785
0500000US48425,48425,"Somervell County, Texas",34426,6353,44940,7977,26752,3285
0500000US48427,48427,"Starr County, Texas",15621,796,19394,1684,12872,795
0500000US48429,48429,"Stephens County, Texas",23401,2408,32250,3702,16797,1231
0500000US48431,48431,"Sterling County, Texas",22813,4757,39545,8517,15491,4988
0500000US48433,48433,"Stonewall County, Texas",30817,6718,36250,13215,22438,9021
0500000US48435,48435,"Sutton County, Texas",31845,5824,44000,8359,19418,2825
0500000US48437,48437,"Swisher County, Texas",22261,3559,25549,4246,16184,1799
0500000US48439,48439,"Tarrant County, Texas",31773,198,37658,551,26618,273
0500000US48441,48441,"Taylor County, Texas",23944,912,30103,1056,19246,944
0500000US48443,48443,"Terrell County, Texas",32167,11574,71563,55404,20341,11296
0500000US48445,48445,"Terry County, Texas",23750,2906,25822,3194,20405,4075
0500000US48447,48447,"Throckmorton County, Texas",24889,3776,29038,6321,21643,2182
0500000US48449,48449,"Titus County, Texas",23403,1191,26473,1005,18853,1668
0500000US48451,48451,"Tom Green County, Texas",23542,1074,28124,2276,19371,1366
0500000US48453,48453,"Travis County, Texas",31344,247,34844,654,27526,540
0500000US48455,48455,"Trinity County, Texas",25341,1399,26402,3408,24788,3482
0500000US48457,48457,"Tyler County, Texas",24746,3261,36626,4471,17861,2842
0500000US48459,48459,"Upshur County, Texas",27905,1917,34047,2784,21037,1263
0500000US48461,48461,"Upton County, Texas",27853,3720,40656,6077,16556,3345
0500000US48463,48463,"Uvalde County, Texas",21127,1581,25612,2683,16719,1834
0500000US48465,48465,"Val Verde County, Texas",22085,1291,25701,2106,17247,1145
